# DANE SYNTETYCZNE do nauki (wygenerowane, z wszczepionym profilem dnia).
# To NIE sa notowania zadnego brokera. Na realne dane: eksport z MT5.
czas,open,high,low,close
2026-01-05 00:00,1.08504,1.0851,1.085,1.08504
2026-01-05 01:00,1.08504,1.08505,1.08503,1.08504
2026-01-05 02:00,1.08504,1.08521,1.08499,1.0852
2026-01-05 03:00,1.0852,1.08526,1.08519,1.08525
2026-01-05 04:00,1.08525,1.08526,1.08521,1.08524
2026-01-05 05:00,1.08524,1.08537,1.08524,1.08534
2026-01-05 06:00,1.08534,1.08541,1.08514,1.08518
2026-01-05 07:00,1.08518,1.08532,1.08491,1.08525
2026-01-05 08:00,1.08525,1.08582,1.0852,1.08545
2026-01-05 09:00,1.08545,1.08682,1.08537,1.08654
2026-01-05 10:00,1.08654,1.08674,1.08652,1.08661
2026-01-05 11:00,1.08661,1.08706,1.08643,1.08697
2026-01-05 12:00,1.08697,1.08736,1.08682,1.08734
2026-01-05 13:00,1.08734,1.08753,1.08574,1.08601
2026-01-05 14:00,1.08601,1.08654,1.08586,1.08632
2026-01-05 15:00,1.08632,1.08788,1.08627,1.0876
2026-01-05 16:00,1.0876,1.08779,1.08676,1.08724
2026-01-05 17:00,1.08724,1.0873,1.08711,1.08725
2026-01-05 18:00,1.08725,1.08739,1.08722,1.08739
2026-01-05 19:00,1.08739,1.08775,1.08728,1.08773
2026-01-05 20:00,1.08773,1.08818,1.0877,1.08812
2026-01-05 21:00,1.08812,1.08832,1.08802,1.08828
2026-01-05 22:00,1.08828,1.08859,1.08826,1.08845
2026-01-05 23:00,1.08845,1.0886,1.08844,1.08858
2026-01-06 00:00,1.08858,1.08862,1.08842,1.08845
2026-01-06 01:00,1.08845,1.08866,1.08842,1.08862
2026-01-06 02:00,1.08862,1.0888,1.08861,1.08877
2026-01-06 03:00,1.08877,1.08878,1.08868,1.08869
2026-01-06 04:00,1.08869,1.08873,1.08854,1.08859
2026-01-06 05:00,1.08859,1.08889,1.08848,1.08878
2026-01-06 06:00,1.08878,1.08892,1.08859,1.08889
2026-01-06 07:00,1.08889,1.08934,1.08869,1.08933
2026-01-06 08:00,1.08933,1.0899,1.08931,1.08989
2026-01-06 09:00,1.08989,1.09025,1.08988,1.09011
2026-01-06 10:00,1.09011,1.09014,1.08979,1.08993
2026-01-06 11:00,1.08993,1.0905,1.08988,1.09027
